Année;Mois_texte;Semaine_num;Jour_texte;Date;Jour_férié;Congés_Scolaire;Congés_Scolaire_Type;Semaine_Type;Covid_Confinement;Covid_Période
2009;janvier;1;jeudi;01/01/2009;oui;oui;Christmas holiday;6Jjeu;;non
2009;janvier;1;vendredi;02/01/2009;non;oui;Christmas holiday;7J;;non
2009;janvier;1;samedi;03/01/2009;non;oui;Christmas holiday;7J;;non
2009;janvier;1;dimanche;04/01/2009;non;oui;Christmas holiday;7J;;non
2009;janvier;2;lundi;05/01/2009;non;non;;7J;;non
2009;janvier;2;mardi;06/01/2009;non;non;;7J;;non
2009;janvier;2;mercredi;07/01/2009;non;non;;7J;;non
2009;janvier;2;jeudi;08/01/2009;non;non;;7J;;non
2009;janvier;2;vendredi;09/01/2009;non;non;;7J;;non
2009;janvier;2;samedi;10/01/2009;non;non;;7J;;non
2009;janvier;2;dimanche;11/01/2009;non;non;;7J;;non
2009;janvier;3;lundi;12/01/2009;non;non;;7J;;non
2009;janvier;3;mardi;13/01/2009;non;non;;7J;;non
2009;janvier;3;mercredi;14/01/2009;non;non;;7J;;non
2009;janvier;3;jeudi;15/01/2009;non;non;;7J;;non
2009;janvier;3;vendredi;16/01/2009;non;non;;7J;;non
2009;janvier;3;samedi;17/01/2009;non;non;;7J;;non
2009;janvier;3;dimanche;18/01/2009;non;non;;7J;;non
2009;janvier;4;lundi;19/01/2009;non;non;;7J;;non
2009;janvier;4;mardi;20/01/2009;non;non;;7J;;non
2009;janvier;4;mercredi;21/01/2009;non;non;;7J;;non
2009;janvier;4;jeudi;22/01/2009;non;non;;7J;;non
2009;janvier;4;vendredi;23/01/2009;non;non;;7J;;non
2009;janvier;4;samedi;24/01/2009;non;non;;7J;;non
2009;janvier;4;dimanche;25/01/2009;non;non;;7J;;non
2009;janvier;5;lundi;26/01/2009;non;non;;7J;;non
2009;janvier;5;mardi;27/01/2009;non;non;;7J;;non
2009;janvier;5;mercredi;28/01/2009;non;non;;7J;;non
2009;janvier;5;jeudi;29/01/2009;non;non;;7J;;non
2009;janvier;5;vendredi;30/01/2009;non;non;;7J;;non
2009;janvier;5;samedi;31/01/2009;non;non;;7J;;non
2009;février;5;dimanche;01/02/2009;non;non;;7J;;non
2009;février;6;lundi;02/02/2009;non;non;;7J;;non
2009;février;6;mardi;03/02/2009;non;non;;7J;;non
2009;février;6;mercredi;04/02/2009;non;non;;7J;;non
2009;février;6;jeudi;05/02/2009;non;non;;7J;;non
2009;février;6;vendredi;06/02/2009;non;non;;7J;;non
2009;février;6;samedi;07/02/2009;non;non;;7J;;non
2009;février;6;dimanche;08/02/2009;non;non;;7J;;non
2009;février;7;lundi;09/02/2009;non;non;;7J;;non
2009;février;7;mardi;10/02/2009;non;non;;7J;;non
2009;février;7;mercredi;11/02/2009;non;non;;7J;;non
2009;février;7;jeudi;12/02/2009;non;non;;7J;;non
2009;février;7;vendredi;13/02/2009;non;non;;7J;;non
2009;février;7;samedi;14/02/2009;non;non;;7J;;non
2009;février;7;dimanche;15/02/2009;non;non;;7J;;non
2009;février;8;lundi;16/02/2009;non;oui;Spring half term holiday;7J;;non
2009;février;8;mardi;17/02/2009;non;oui;Spring half term holiday;7J;;non
2009;février;8;mercredi;18/02/2009;non;oui;Spring half term holiday;7J;;non
2009;février;8;jeudi;19/02/2009;non;oui;Spring half term holiday;7J;;non
2009;février;8;vendredi;20/02/2009;non;oui;Spring half term holiday;7J;;non
2009;février;8;samedi;21/02/2009;non;oui;Spring half term holiday;7J;;non
2009;février;8;dimanche;22/02/2009;non;oui;Spring half term holiday;7J;;non
2009;février;9;lundi;23/02/2009;non;non;;7J;;non
2009;février;9;mardi;24/02/2009;non;non;;7J;;non
2009;février;9;mercredi;25/02/2009;non;non;;7J;;non
2009;février;9;jeudi;26/02/2009;non;non;;7J;;non
2009;février;9;vendredi;27/02/2009;non;non;;7J;;non
2009;février;9;samedi;28/02/2009;non;non;;7J;;non
2009;mars;9;dimanche;01/03/2009;non;non;;7J;;non
2009;mars;10;lundi;02/03/2009;non;non;;7J;;non
2009;mars;10;mardi;03/03/2009;non;non;;7J;;non
2009;mars;10;mercredi;04/03/2009;non;non;;7J;;non
2009;mars;10;jeudi;05/03/2009;non;non;;7J;;non
2009;mars;10;vendredi;06/03/2009;non;non;;7J;;non
2009;mars;10;samedi;07/03/2009;non;non;;7J;;non
2009;mars;10;dimanche;08/03/2009;non;non;;7J;;non
2009;mars;11;lundi;09/03/2009;non;non;;7J;;non
2009;mars;11;mardi;10/03/2009;non;non;;7J;;non
2009;mars;11;mercredi;11/03/2009;non;non;;7J;;non
2009;mars;11;jeudi;12/03/2009;non;non;;7J;;non
2009;mars;11;vendredi;13/03/2009;non;non;;7J;;non
2009;mars;11;samedi;14/03/2009;non;non;;7J;;non
2009;mars;11;dimanche;15/03/2009;non;non;;7J;;non
